00c02812  4ef900fc5a58             jmp 0x00fc5a58.l
00c34150  33fc000a00c45954         move.w #0xa,(0x00c45954).l
00c34158  303c009f                 move.w #0x9f,D0w
00c3415c  323c0047                 move.w #0x47,D1w
00c34160  4eb900c2f5c0             jsr 0x00c2f5c0.l
00c34166  6d4a                     blt.b 0x00c341b2
00c34168  5241                     addq.w #0x1,D1w
00c3416a  4eb900c2f5d4             jsr 0x00c2f5d4.l
00c34170  5441                     addq.w #0x2,D1w
00c34172  4eb900c2f5d4             jsr 0x00c2f5d4.l
00c34178  5241                     addq.w #0x1,D1w
00c3417a  4eb900c2f5f4             jsr 0x00c2f5f4.l
00c34180  303c009d                 move.w #0x9d,D0w
00c34184  d07900c45988             add.w (0x00c45988).l,D0w
00c3418a  0c400004                 cmpi.w #0x4,D0w
00c3418e  6d22                     blt.b 0x00c341b2
00c34190  323c0048                 move.w #0x48,D1w
00c34194  3400                     move.w D0w,D2w
00c34196  5842                     addq.w #0x4,D2w
00c34198  0c42013b                 cmpi.w #0x13b,D2w
00c3419c  6e14                     bgt.b 0x00c341b2
00c3419e  3601                     move.w D1w,D3w
00c341a0  d27900c458d8             add.w (0x00c458d8).l,D1w
00c341a6  d67900c458d8             add.w (0x00c458d8).l,D3w
00c341ac  4eb900c2fa7e             jsr 0x00c2fa7e.l
00c341b2  33fc000a00c45954         move.w #0xa,(0x00c45954).l
00c341ba  303c008d                 move.w #0x8d,D0w
00c341be  d07900c45988             add.w (0x00c45988).l,D0w
00c341c4  0c400005                 cmpi.w #0x5,D0w
00c341c8  6d22                     blt.b 0x00c341ec
00c341ca  323c005a                 move.w #0x5a,D1w
00c341ce  3400                     move.w D0w,D2w
00c341d0  5842                     addq.w #0x4,D2w
00c341d2  0c42013b                 cmpi.w #0x13b,D2w
00c341d6  6e14                     bgt.b 0x00c341ec
00c341d8  3601                     move.w D1w,D3w
00c341da  d27900c458d8             add.w (0x00c458d8).l,D1w
00c341e0  d67900c458d8             add.w (0x00c458d8).l,D3w
00c341e6  4eb900c2fa7e             jsr 0x00c2fa7e.l
00c341ec  303c00ad                 move.w #0xad,D0w
00c341f0  d07900c45988             add.w (0x00c45988).l,D0w
00c341f6  0c400005                 cmpi.w #0x5,D0w
00c341fa  6d22                     blt.b 0x00c3421e
00c341fc  323c005a                 move.w #0x5a,D1w
00c34200  3400                     move.w D0w,D2w
00c34202  5842                     addq.w #0x4,D2w
00c34204  0c42013b                 cmpi.w #0x13b,D2w
00c34208  6e14                     bgt.b 0x00c3421e
00c3420a  3601                     move.w D1w,D3w
00c3420c  d27900c458d8             add.w (0x00c458d8).l,D1w
00c34212  d67900c458d8             add.w (0x00c458d8).l,D3w
00c34218  4eb900c2fa7e             jsr 0x00c2fa7e.l
00c3421e  41f900c46184             lea (0xc46184).l,A0
00c34224  d0f900c458de             adda.w (0x00c458de).l,A0
00c3422a  10280062                 move.b (0x62,A0),D0b
00c3422e  0c000010                 cmpi.b #0x10,D0b
00c34232  670e                     beq.b 0x00c34242
00c34242  427900c459aa             clr.w (0x00c459aa).l
00c34248  41f900c34560             lea (0xc34560).l,A0
00c3424e  d0f900c459aa             adda.w (0x00c459aa).l,A0
00c34254  4c90000f                 movem.w (A0),{ D0 D1 D2 D3}
00c34258  41f900c34578             lea (0xc34578).l,A0
00c3425e  d0f900c459aa             adda.w (0x00c459aa).l,A0
00c34264  33d000c45954             move.w (A0),(0x00c45954).l
00c3426a  d07900c45988             add.w (0x00c45988).l,D0w
00c34270  6c0c                     bge.b 0x00c3427e
00c3427e  0c40013f                 cmpi.w #0x13f,D0w
00c34282  6f12                     ble.b 0x00c34296
00c34296  d47900c45988             add.w (0x00c45988).l,D2w
00c3429c  6c02                     bge.b 0x00c342a0
00c342a0  0c42013f                 cmpi.w #0x13f,D2w
00c342a4  6f04                     ble.b 0x00c342aa
00c342aa  d27900c458d8             add.w (0x00c458d8).l,D1w
00c342b0  d67900c458d8             add.w (0x00c458d8).l,D3w
00c342b6  4eb900c2fa7e             jsr 0x00c2fa7e.l
00c342bc  587900c459aa             addq.w #0x4,(0x00c459aa).l
00c342c2  0c79001400c459aa         cmpi.w #0x14,(0x00c459aa).l
00c342ca  6d00ff7c                 blt.w 0x00c34248
00c342ce  4e75                     rts
00c342d0  427900c459aa             clr.w (0x00c459aa).l
00c342d6  33fc000a00c45954         move.w #0xa,(0x00c45954).l
00c342de  4cb9000300c45936         movem.w (0xc45936).l,{ D0 D1}
00c342e6  4a3900c457ae             tst.b (0x00c457ae).l
00c342ec  66000126                 bne.w 0x00c34414
00c342f0  4cb9000c00c45942         movem.w (0xc45942).l,{  D2 D3}
00c342f8  7a00                     moveq 0x0,D5
00c342fa  43f900c46184             lea (0xc46184).l,A1
00c34300  d2f900c458de             adda.w (0x00c458de).l,A1
00c34306  18290063                 move.b (0x63,A1),D4b
00c3430a  020400f0                 andi.b #-0x10,D4b
00c3430e  6704                     beq.b 0x00c34314
00c34314  383cffff                 move.w #-0x1,D4w
00c34318  600000ee                 bra.w 0x00c34408
00c34408  33c400c45942             move.w D4w,(0x00c45942).l
00c3440e  33c200c45944             move.w D2w,(0x00c45944).l
00c34414  4a7900c461da             tst.w (0x00c461da).l
00c3441a  6718                     beq.b 0x00c34434
00c3441c  343900c4619a             move.w (0x00c4619a).l,D2w
00c34422  0242001c                 andi.w #0x1c,D2w
00c34426  41f900c34540             lea (0xc34540).l,A0
00c3442c  d0702000                 add.w (0x0,A0,D2w*0x1),D0w
00c34430  d2702002                 add.w (0x2,A0,D2w*0x1),D1w
00c34434  d07900c45988             add.w (0x00c45988).l,D0w
00c3443a  d27900c458d8             add.w (0x00c458d8).l,D1w
00c34440  3400                     move.w D0w,D2w
00c34442  6f0000fa                 ble.w 0x00c3453e
00c3453e  4e75                     rts
00c53f44  2f0e                     move.l A6,-(SP)
00c53f46  2c7900c182ca             movea.l (0x00c182ca).l,A6
00c53f4c  4eaeff1c                 jsr (-0xe4,A6)
00c53f50  2c5f                     movea.l (SP)+,A6
00c53f52  4e75                     rts
